news_id,user_name,screen_name,time_of_tweet,retweet_count,news_tweet,hashtags,hashtags_sensitive
1121418257481764864,Hollywood Reporter,THR,Thu Apr 25 14:18:42 +0000 2019,8,De Niro to the press while kicking off #Tribeca2019:  They call you 'fake news|' 'enemies of the people' and encourage violence against you — and you’re not intimidated.  https://t.co/GChMF9hFVe ,Tribeca2019,Tribeca2019
1121417346453733377,Hollywood Reporter,THR,Thu Apr 25 14:15:04 +0000 2019,6,Broadcast networks turn to comedy (like #AllInTheFamily) in the next wave of live TV stunts https://t.co/MZi1AL427b https://t.co/gfoOk8vFKg ,AllInTheFamily,AllInTheFamily
1121417157890445312,Hollywood Reporter,THR,Thu Apr 25 14:14:20 +0000 2019,2,There's currently no word on whether Smollett will return to #Empire if the show is renewed https://t.co/GgHgmz2yUQ ,Empire,Empire
1121416980316196867,Hollywood Reporter,THR,Thu Apr 25 14:13:37 +0000 2019,12, Together| as a united front| we stand with Jussie Smollett and ask that our co-star| brother and friend be brought back for our sixth season of #Empire|  the letter reads https://t.co/FEwBBnIIXa ,Empire,Empire
1121413618959036416,Hollywood Reporter,THR,Thu Apr 25 14:00:16 +0000 2019,19,A fresh look at #Prince: Never-before-seen images of a legend gone too soon https://t.co/DVzB7WudFm https://t.co/t0EcXEAh3U ,Prince,Prince
1121411105652453376,Hollywood Reporter,THR,Thu Apr 25 13:50:17 +0000 2019,15,Luke Perry's Fred Andrews was a much-needed moral center on #Riverdale. Inside Wednesday's farewell episode: https://t.co/QorUDPvlU7 https://t.co/uMowJPM22h ,Riverdale,Riverdale
1121409811000778752,Hollywood Reporter,THR,Thu Apr 25 13:45:08 +0000 2019,10,Tormund Giantsbane @kristoferhivju spills the #GameOfThrones final season battle milk https://t.co/nQ8pGVjhxg https://t.co/ARwfSveush ,GameOfThrones,GameOfThrones
1121406037121220608,Hollywood Reporter,THR,Thu Apr 25 13:30:08 +0000 2019,9,TV's new math: What if $100M #Netflix deals actually shortchange creators https://t.co/kuesi4z3Rn https://t.co/ZBPNWKkTBW ,Netflix,Netflix
1121403507393929216,Hollywood Reporter,THR,Thu Apr 25 13:20:05 +0000 2019,8,Legendary CEO Joshua Grode on pitting #DetectivePikachu against Marvel| Warner Bros. upheaval https://t.co/0qTo13eGT0 https://t.co/V4WyhNExpq ,DetectivePikachu,DetectivePikachu
1121400987430920192,Hollywood Reporter,THR,Thu Apr 25 13:10:04 +0000 2019,9,Watch: @chadwickboseman faces killers in the first tralier for #21Bridges https://t.co/X8tN5iE6yr https://t.co/eJz9TgcRxj ,21Bridges,21Bridges
1121398488674308096,Hollywood Reporter,THR,Thu Apr 25 13:00:08 +0000 2019,10,The night #JohnBelushi died: Exclusive book excerpt reveals new details of a tragic end at the Chateau Marmont https://t.co/qZOPv2o8Cr https://t.co/eMqBUalDlr ,JohnBelushi,JohnBelushi
1121383611368865793,Hollywood Reporter,THR,Thu Apr 25 12:01:01 +0000 2019,4,Game review: #DaysGone https://t.co/rjtvymPNJt https://t.co/INQPCuQxJ1 ,DaysGone,DaysGone
1121375842431635457,Hollywood Reporter,THR,Thu Apr 25 11:30:09 +0000 2019,6,Comedy's subversive superstar (and now first-time film director) is building an empire on female-fronted hits while channeling her anger over the state of politics. Pick up your copy of #AmyPoehler's cover: https://t.co/xHJq5nj05s https://t.co/NgwJh9WuTQ ,AmyPoehler,AmyPoehler
1121365500326445056,Hollywood Reporter,THR,Thu Apr 25 10:49:03 +0000 2019,16,AMC Theatres is bracing for #AvengersEndgame's arrival https://t.co/e4xTU6QTIM https://t.co/2PTy05yGkN ,AvengersEndgame,AvengersEndgame
1121357945177018368,Hollywood Reporter,THR,Thu Apr 25 10:19:02 +0000 2019,22,Prepare for many death's in Sunday's episode of #GameOfThrones https://t.co/pN3b3RsAWR https://t.co/tgxsBQGo4v ,GameOfThrones,GameOfThrones
1121349899646328835,Hollywood Reporter,THR,Thu Apr 25 09:47:04 +0000 2019,24,As one era of superheroes ends with this week’s release of #AvengersEndgame| audiences are ready for the next generation of superheroes to be more diverse – according to a new poll https://t.co/oxtpKfHF3l https://t.co/OKaxYQQHsf ,AvengersEndgame,AvengersEndgame
1121342600806576128,Hollywood Reporter,THR,Thu Apr 25 09:18:04 +0000 2019,16,The Winterfell War is coming. Here's what to expect: https://t.co/EB2OfiLPxT #GameOfThrones https://t.co/oMuFQRLjOH ,GameOfThrones,GameOfThrones
1121335039252365312,Hollywood Reporter,THR,Thu Apr 25 08:48:01 +0000 2019,3,Inside the meaning of those new #GameOfThrones photos https://t.co/6nFSFetswO https://t.co/65daLSPPLe ,GameOfThrones,GameOfThrones
1121326499511054336,Hollywood Reporter,THR,Thu Apr 25 08:14:05 +0000 2019,10,Why it's time to cut the cable cord https://t.co/MeyzDT5Ac6 #StreamingWars https://t.co/UAm8TNfGqE ,StreamingWars,StreamingWars
1121319209139605504,Hollywood Reporter,THR,Thu Apr 25 07:45:07 +0000 2019,19,The endgame is near. Read the #AvengersEndgame review: https://t.co/yEpabXSu4H https://t.co/e4DMw2i1iG ,AvengersEndgame,AvengersEndgame
1121311651813298177,Hollywood Reporter,THR,Thu Apr 25 07:15:05 +0000 2019,13,The next round of the #Bones dispute begins next week https://t.co/hV3NEZnvBo https://t.co/455R3mOVfx ,Bones,Bones
1121304606984683522,Hollywood Reporter,THR,Thu Apr 25 06:47:05 +0000 2019,16,With the renewals of #AllAmerican| #InTheDark| #RoswellNM and #The100| @TheCW is officially bringing back nearly its entire lineup for the 2019-20 broadcast season https://t.co/ZEGJOVXNyx https://t.co/4hN6t0RC1j ,AllAmerican,AllAmerican
1121304606984683522,Hollywood Reporter,THR,Thu Apr 25 06:47:05 +0000 2019,16,With the renewals of #AllAmerican| #InTheDark| #RoswellNM and #The100| @TheCW is officially bringing back nearly its entire lineup for the 2019-20 broadcast season https://t.co/ZEGJOVXNyx https://t.co/4hN6t0RC1j ,InTheDark,InTheDark
1121304606984683522,Hollywood Reporter,THR,Thu Apr 25 06:47:05 +0000 2019,16,With the renewals of #AllAmerican| #InTheDark| #RoswellNM and #The100| @TheCW is officially bringing back nearly its entire lineup for the 2019-20 broadcast season https://t.co/ZEGJOVXNyx https://t.co/4hN6t0RC1j ,RoswellNM,RoswellNM
